Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
2 a 3;1;1;10 (Sat May 20 22:40:00 BRT 2006[null]);1;3;0.250;1;2;0.334;0.286;0.250;0.000;0.334;0.084;0.286;0.036
4 a 5;2;1;16 (Mon May 22 20:37:54 BRT 2006[null]);0;7;0.000;0;4;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
5 a 6;1;1;17 (Mon May 22 20:40:29 BRT 2006[null]);2;0;1.000;3;7;0.300;0.462;1.000;0.000;0.300;0.700;0.462;0.539
6 a 7;50;33;18 (Tue May 23 05:48:19 BRT 2006[null]);46;137;0.252;86;233;0.270;0.261;0.285;0.277;0.374;0.336;0.275;0.225
7 a 8;1;1;24 (Tue May 23 08:03:30 BRT 2006[null]);0;2;0.000;0;1;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
8 a 9;6;4;60 (Wed May 31 00:03:18 BRT 2006[null]);6;15;0.286;6;17;0.261;0.273;0.280;0.057;0.268;0.063;0.271;0.053
12 a 13;11;3;69 (Sat Jun 03 10:36:51 BRT 2006[null]);2;5;0.286;6;27;0.182;0.223;0.134;0.189;0.084;0.129;0.103;0.149
13 a 14;1;1;73 (Sat Jun 10 22:19:44 BRT 2006[null]);1;3;0.250;1;4;0.201;0.223;0.250;0.000;0.201;0.050;0.223;0.028
14 a 15;2;1;79 (Wed Jun 14 19:44:39 BRT 2006[null]);1;4;0.201;1;6;0.143;0.168;0.201;0.002;0.143;0.059;0.167;0.035
16 a 17;3;1;82 (Wed Jun 14 21:41:53 BRT 2006[null]);1;4;0.201;1;6;0.143;0.168;0.201;0.002;0.143;0.059;0.167;0.035
17 a 18;3;3;93 (Tue Jun 27 20:26:25 BRT 2006[null]);6;4;0.600;6;9;0.401;0.481;0.286;0.405;0.223;0.321;0.250;0.356
18 a 19;1;1;94 (Wed Jul 05 12:58:20 BRT 2006[null]);0;3;0.000;0;6;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
19 a 20;1;1;99 (Wed Jul 05 17:58:50 BRT 2006[null]);2;9;0.182;3;6;0.334;0.236;0.182;0.001;0.334;0.152;0.236;0.054
20 a 21;10;2;102 (Thu Jul 06 14:05:08 BRT 2006[null]);8;16;0.334;12;13;0.480;0.394;0.322;0.140;0.448;0.171;0.372;0.145
21 a 22;4;4;105 (Mon Jul 10 08:24:18 BRT 2006[null]);0;15;0.000;0;12;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
22 a 23;1;1;112 (Wed Jul 12 07:25:32 BRT 2006[null]);0;7;0.000;0;3;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
23 a 24;9;2;113 (Wed Jul 12 07:33:14 BRT 2006[null]);2;4;0.334;6;20;0.231;0.274;0.201;0.201;0.125;0.147;0.154;0.161
24 a 25;21;20;121 (Wed Jul 26 22:13:46 BRT 2006[null]);25;77;0.246;32;78;0.291;0.267;0.242;0.119;0.260;0.135;0.246;0.120
25 a 26;9;3;126 (Tue Aug 22 13:01:34 BRT 2006[null]);1;11;0.084;1;8;0.112;0.097;0.084;0.118;0.067;0.096;0.075;0.106
26 a 27;1;1;127 (Tue Aug 22 13:02:44 BRT 2006[null]);2;9;0.182;3;6;0.334;0.236;0.182;0.001;0.334;0.152;0.236;0.054
28 a 29;1;1;137 (Fri Aug 25 13:06:20 BRT 2006[null]);1;1;0.500;1;0;1.000;0.667;0.500;0.000;1.000;0.500;0.667;0.167
29 a 30;4;3;138 (Fri Aug 25 13:12:26 BRT 2006[null]);3;4;0.429;7;19;0.270;0.332;0.500;0.409;0.208;0.380;0.280;0.378
30 a 31;10;5;140 (Fri Aug 25 13:14:50 BRT 2006[null]);8;24;0.250;14;16;0.467;0.326;0.185;0.157;0.338;0.318;0.238;0.205
31 a 32;2;1;141 (Fri Aug 25 13:17:12 BRT 2006[null]);1;3;0.250;1;1;0.500;0.334;0.250;0.000;0.500;0.250;0.334;0.084
32 a 33;5;5;142 (Fri Aug 25 13:18:58 BRT 2006[null]);2;18;0.101;2;15;0.118;0.109;0.101;0.123;0.101;0.123;0.101;0.123
33 a 34;1;1;146 (Mon Aug 28 17:58:26 BRT 2006[null]);1;5;0.167;1;5;0.167;0.168;0.167;0.001;0.167;0.001;0.167;0.001
34 a 35;2;2;152 (Sun Sep 03 19:12:13 BRT 2006[null]);1;10;0.091;2;10;0.167;0.118;0.063;0.063;0.091;0.096;0.075;0.075
35 a 36;1;1;153 (Mon Sep 04 18:54:15 BRT 2006[null]);2;8;0.201;2;3;0.401;0.268;0.201;0.002;0.401;0.200;0.267;0.066
36 a 37;2;1;161 (Wed Sep 06 13:54:18 BRT 2006[null]);0;4;0.000;0;4;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
37 a 38;1;1;163 (Wed Sep 06 14:18:36 BRT 2006[null]);1;4;0.201;1;22;0.044;0.073;0.201;0.002;0.044;0.158;0.072;0.130
38 a 39;2;2;167 (Thu Sep 14 17:47:17 BRT 2006[null]);0;11;0.000;0;5;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
39 a 40;1;1;172 (Fri Sep 15 00:27:26 BRT 2006[null]);0;4;0.000;0;2;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
40 a 41;1;1;186 (Sat Sep 23 16:48:39 BRT 2006[null]);0;2;0.000;0;2;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
41 a 42;16;10;188 (Fri Sep 29 04:29:13 BRT 2006[null]);6;29;0.172;6;15;0.286;0.215;0.150;0.123;0.300;0.288;0.200;0.171
43 a 44;2;2;228 (Mon Nov 13 22:59:17 BRST 2006[null]);3;3;0.500;6;3;0.667;0.572;0.500;0.167;0.667;0.167;0.556;0.125
44 a 45;7;7;233 (Tue Nov 14 01:18:42 BRST 2006[null]);7;29;0.195;9;59;0.133;0.159;0.165;0.145;0.232;0.230;0.188;0.166
45 a 46;1;1;236 (Tue Nov 14 02:26:12 BRST 2006[null]);4;6;0.401;7;12;0.369;0.385;0.401;0.002;0.369;0.033;0.384;0.018
46 a 47;2;2;240 (Tue Nov 14 18:55:24 BRST 2006[null]);10;4;0.715;10;2;0.834;0.770;0.715;0.001;0.834;0.119;0.770;0.055
