Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;276;188;205 (Mon Oct 04 03:15:01 BRT 2010[null]);218;595;0.269;437;1081;0.288;0.279;0.289;0.273;0.257;0.255;0.250;0.229
5 a 55;275;172;219 (Mon Oct 04 23:58:36 BRT 2010[null]);201;527;0.277;399;997;0.286;0.282;0.296;0.280;0.254;0.257;0.252;0.235
10 a 60;251;153;243 (Thu Oct 07 21:10:43 BRT 2010[null]);185;487;0.276;390;970;0.287;0.282;0.294;0.276;0.247;0.250;0.247;0.234
15 a 65;218;122;260 (Sun Oct 10 11:15:51 BRT 2010[null]);126;371;0.254;294;862;0.255;0.255;0.283;0.284;0.211;0.241;0.221;0.233
20 a 70;211;117;271 (Wed Oct 13 21:55:39 BRT 2010[null]);117;360;0.246;266;831;0.243;0.245;0.270;0.286;0.191;0.237;0.204;0.230
25 a 75;209;116;278 (Thu Oct 14 21:56:13 BRT 2010[null]);118;367;0.244;276;846;0.246;0.245;0.264;0.280;0.189;0.237;0.202;0.230
30 a 80;209;114;306 (Fri Mar 11 22:13:38 BRT 2011[null]);118;352;0.252;272;849;0.243;0.248;0.259;0.266;0.190;0.234;0.200;0.224
35 a 85;210;122;325 (Wed Apr 13 02:14:25 BRT 2011[null]);105;351;0.231;231;817;0.221;0.226;0.212;0.243;0.165;0.220;0.169;0.209
40 a 90;211;121;341 (Tue Aug 30 14:22:38 BRT 2011[null]);98;360;0.214;203;788;0.205;0.210;0.195;0.233;0.157;0.216;0.160;0.204
45 a 95;240;144;392 (Wed Nov 16 00:47:59 BRST 2011[null]);99;406;0.197;217;903;0.194;0.196;0.170;0.227;0.130;0.202;0.137;0.196
50 a 100;165;104;411 (Wed Feb 22 17:20:01 BRST 2012[null]);63;306;0.171;150;637;0.191;0.181;0.125;0.206;0.099;0.175;0.106;0.182
54 a 104;152;106;419 (ULTIMO);64;311;0.171;155;631;0.198;0.184;0.125;0.205;0.102;0.175;0.109;0.183
