Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;568;217;125 (Tue Dec 18 18:59:41 BRST 2012[null]);229;556;0.292;268;911;0.228;0.257;0.279;0.313;0.252;0.291;0.240;0.257
5 a 55;523;213;154 (Fri Jan 11 14:37:35 BRST 2013[null]);243;548;0.308;283;861;0.248;0.275;0.283;0.319;0.268;0.304;0.249;0.266
10 a 60;527;213;166 (Wed Jan 16 17:13:15 BRST 2013[null]);233;547;0.299;271;819;0.249;0.272;0.275;0.326;0.257;0.300;0.240;0.267
15 a 65;426;168;175 (Thu Jan 17 19:17:46 BRST 2013[null]);197;466;0.298;236;742;0.242;0.268;0.265;0.317;0.244;0.295;0.232;0.268
20 a 70;424;164;185 (Wed Jan 23 20:30:15 BRST 2013[null]);208;463;0.310;249;725;0.256;0.281;0.283;0.322;0.250;0.286;0.245;0.270
25 a 75;396;153;205 (Thu Feb 07 13:19:06 BRST 2013[null]);197;438;0.311;233;675;0.257;0.282;0.270;0.296;0.253;0.287;0.239;0.255
30 a 80;408;155;212 (Mon Feb 11 17:44:47 BRST 2013[null]);203;456;0.309;237;683;0.258;0.282;0.269;0.273;0.278;0.296;0.245;0.235
35 a 85;375;155;221 (Sat Feb 16 01:10:20 BRST 2013[null]);194;451;0.301;224;551;0.290;0.296;0.264;0.275;0.308;0.323;0.259;0.251
40 a 90;342;150;239 (Fri Mar 01 13:57:10 BRT 2013[null]);180;432;0.295;208;543;0.277;0.286;0.252;0.272;0.294;0.319;0.245;0.246
45 a 95;351;167;250 (Fri Mar 01 14:11:46 BRT 2013[null]);207;477;0.303;245;582;0.297;0.300;0.258;0.280;0.300;0.323;0.255;0.259
50 a 100;331;187;258 (Sat Mar 02 23:12:35 BRT 2013[null]);234;526;0.308;274;507;0.351;0.329;0.253;0.292;0.303;0.329;0.257;0.271
55 a 105;346;201;267 (Fri Mar 08 18:10:57 BRT 2013[null]);221;553;0.286;253;516;0.329;0.306;0.246;0.287;0.302;0.340;0.249;0.267
60 a 110;363;212;273 (Fri Mar 08 18:21:48 BRT 2013[null]);250;600;0.295;282;526;0.350;0.321;0.259;0.278;0.341;0.361;0.271;0.268
65 a 115;364;207;283 (Fri Mar 08 18:41:36 BRT 2013[null]);244;574;0.299;279;507;0.355;0.325;0.274;0.283;0.365;0.371;0.287;0.271
70 a 120;317;191;297 (Fri Mar 15 16:27:36 BRT 2013[null]);220;530;0.294;245;434;0.361;0.325;0.272;0.282;0.371;0.380;0.286;0.273
75 a 125;308;191;310 (Wed Mar 27 17:22:43 BRT 2013[null]);222;540;0.292;247;449;0.355;0.321;0.268;0.280;0.366;0.374;0.283;0.270
80 a 130;298;188;327 (Mon Apr 08 13:37:02 BRT 2013[null]);200;509;0.283;224;472;0.322;0.302;0.261;0.296;0.332;0.364;0.265;0.276
85 a 135;4539;832;334 (Sat Apr 13 16:02:12 BRT 2013[null]);605;2483;0.196;826;7743;0.097;0.130;0.181;0.267;0.135;0.235;0.128;0.195
90 a 140;4563;847;354 (Mon May 06 12:30:17 BRT 2013[null]);622;2533;0.198;846;7780;0.099;0.132;0.182;0.266;0.139;0.237;0.131;0.196
95 a 145;4521;822;383 (Wed May 22 10:13:01 BRT 2013[null]);584;2466;0.192;798;7728;0.094;0.127;0.177;0.262;0.131;0.231;0.124;0.188
100 a 150;4480;793;407 (Mon Jun 03 13:13:05 BRT 2013[null]);547;2385;0.187;760;7657;0.091;0.123;0.176;0.259;0.129;0.229;0.121;0.184
105 a 155;4449;768;423 (Thu Jun 06 17:28:45 BRT 2013[null]);529;2321;0.186;740;7597;0.089;0.121;0.173;0.258;0.121;0.217;0.117;0.180
110 a 160;4413;747;462 (Wed Jul 17 11:06:17 BRT 2013[null]);492;2239;0.181;702;7577;0.085;0.116;0.169;0.260;0.107;0.199;0.109;0.174
115 a 165;4380;735;493 (Fri Aug 09 18:16:10 BRT 2013[null]);485;2208;0.181;692;7535;0.085;0.116;0.168;0.259;0.102;0.189;0.106;0.171
120 a 170;4385;730;525 (Tue Sep 10 17:53:41 BRT 2013[null]);481;2195;0.180;688;7530;0.084;0.115;0.167;0.259;0.100;0.185;0.105;0.169
125 a 175;4393;734;539 (Thu Oct 03 12:01:27 BRT 2013[null]);483;2228;0.179;694;7558;0.085;0.116;0.166;0.258;0.099;0.184;0.105;0.168
130 a 180;4405;730;548 (Mon Oct 14 14:23:26 BRT 2013[null]);485;2248;0.178;697;7561;0.085;0.116;0.165;0.254;0.100;0.183;0.105;0.166
135 a 185;152;75;583 (Thu Nov 21 01:23:32 BRST 2013[null]);67;251;0.211;84;314;0.212;0.212;0.211;0.222;0.230;0.249;0.210;0.223
140 a 190;130;63;607 (Thu Dec 12 14:56:13 BRST 2013[null]);67;212;0.241;85;292;0.226;0.234;0.230;0.248;0.226;0.241;0.219;0.236
145 a 195;174;70;622 (Wed Dec 18 17:32:00 BRST 2013[null]);72;226;0.242;90;313;0.224;0.233;0.232;0.261;0.231;0.256;0.221;0.245
148 a 198;178;70;626 (ULTIMO);70;232;0.232;88;313;0.220;0.226;0.215;0.246;0.212;0.241;0.203;0.228
