Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;517;177;183 (Thu Mar 29 14:51:08 BRT 2012[null]);148;410;0.266;172;620;0.218;0.240;0.237;0.304;0.246;0.315;0.217;0.262
5 a 55;454;165;209 (Fri Apr 06 12:48:32 BRT 2012[null]);135;383;0.261;159;585;0.214;0.236;0.238;0.309;0.243;0.319;0.215;0.265
10 a 60;503;176;224 (Fri Apr 13 14:38:05 BRT 2012[null]);143;426;0.252;164;643;0.204;0.226;0.233;0.302;0.236;0.312;0.210;0.259
15 a 65;464;172;239 (Tue May 08 11:48:48 BRT 2012[null]);138;413;0.251;159;630;0.202;0.224;0.228;0.302;0.229;0.305;0.204;0.255
20 a 70;514;184;258 (Fri May 11 10:44:10 BRT 2012[null]);145;444;0.247;167;675;0.199;0.221;0.222;0.294;0.223;0.298;0.200;0.249
25 a 75;467;154;271 (Wed May 23 16:22:46 BRT 2012[null]);110;359;0.235;128;516;0.199;0.216;0.223;0.306;0.225;0.307;0.201;0.257
30 a 80;411;113;295 (Fri Jun 01 18:41:37 BRT 2012[null]);74;261;0.221;82;419;0.164;0.189;0.204;0.302;0.177;0.263;0.167;0.228
35 a 85;431;115;303 (Mon Jun 11 14:50:44 BRT 2012[null]);65;255;0.204;73;482;0.132;0.161;0.179;0.299;0.134;0.225;0.136;0.212
40 a 90;311;82;326 (Tue Jun 19 16:26:50 BRT 2012[null]);50;196;0.204;57;359;0.138;0.165;0.166;0.264;0.129;0.195;0.135;0.202
45 a 95;398;85;344 (Wed Jun 20 19:47:23 BRT 2012[null]);59;207;0.222;62;370;0.144;0.175;0.188;0.264;0.153;0.204;0.158;0.207
50 a 100;431;82;367 (Mon Jul 02 13:37:51 BRT 2012[null]);55;198;0.218;58;352;0.142;0.172;0.203;0.280;0.175;0.249;0.179;0.249
55 a 105;603;108;407 (Thu Jul 26 13:32:16 BRT 2012[null]);78;265;0.228;119;561;0.175;0.199;0.222;0.287;0.188;0.251;0.188;0.239
60 a 110;626;129;413 (Fri Jul 27 18:17:57 BRT 2012[null]);119;280;0.299;163;588;0.218;0.253;0.272;0.326;0.237;0.303;0.235;0.283
65 a 115;614;147;419 (Thu Aug 02 19:53:25 BRT 2012[null]);134;329;0.290;178;638;0.219;0.250;0.264;0.318;0.242;0.301;0.235;0.279
70 a 120;589;140;429 (Thu Aug 09 18:54:24 BRT 2012[null]);143;309;0.317;189;612;0.236;0.271;0.291;0.334;0.261;0.314;0.256;0.294
75 a 125;610;155;439 (Mon Aug 13 17:59:26 BRT 2012[null]);158;309;0.339;203;612;0.250;0.288;0.331;0.367;0.277;0.321;0.281;0.310
80 a 130;608;157;464 (Tue Aug 28 15:23:43 BRT 2012[null]);159;317;0.335;205;629;0.246;0.284;0.324;0.362;0.276;0.320;0.278;0.309
85 a 135;633;156;471 (Fri Aug 31 17:03:30 BRT 2012[null]);160;334;0.324;206;605;0.255;0.286;0.327;0.360;0.280;0.318;0.282;0.307
90 a 140;634;153;493 (Tue Sep 18 21:07:54 BRT 2012[null]);152;334;0.313;197;610;0.245;0.275;0.320;0.360;0.272;0.317;0.274;0.306
95 a 145;532;156;504 (Wed Sep 26 14:40:39 BRT 2012[null]);176;341;0.341;235;679;0.258;0.294;0.331;0.361;0.276;0.318;0.279;0.305
100 a 150;517;175;516 (Tue Oct 02 19:04:32 BRT 2012[null]);198;387;0.339;260;748;0.258;0.294;0.327;0.349;0.267;0.301;0.271;0.286
105 a 155;353;147;529 (Fri Oct 05 17:36:20 BRT 2012[null]);175;315;0.358;199;531;0.273;0.310;0.340;0.357;0.277;0.309;0.284;0.298
110 a 160;293;120;540 (Wed Oct 10 11:49:34 BRT 2012[null]);129;274;0.321;151;474;0.242;0.276;0.317;0.348;0.247;0.280;0.258;0.279
115 a 165;298;115;549 (Wed Oct 17 14:48:43 BRT 2012[null]);120;251;0.324;142;498;0.222;0.264;0.305;0.357;0.216;0.276;0.236;0.281
120 a 170;272;110;558 (Thu Oct 18 15:47:04 BRT 2012[null]);107;241;0.308;126;479;0.209;0.250;0.293;0.349;0.207;0.266;0.225;0.270
125 a 175;283;107;566 (Tue Oct 23 21:15:05 BRST 2012[null]);102;267;0.277;121;489;0.199;0.232;0.225;0.273;0.208;0.274;0.189;0.220
127 a 177;283;107;573 (ULTIMO);102;267;0.277;121;489;0.199;0.232;0.225;0.273;0.208;0.274;0.189;0.220
