Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;568;217;125 (Tue Dec 18 18:59:41 BRST 2012[null]);229;558;0.291;268;911;0.228;0.256;0.279;0.313;0.252;0.291;0.239;0.257
5 a 55;523;213;154 (Fri Jan 11 14:37:35 BRST 2013[null]);243;547;0.308;283;861;0.248;0.275;0.285;0.322;0.268;0.304;0.250;0.267
10 a 60;527;213;166 (Wed Jan 16 17:13:15 BRST 2013[null]);233;546;0.300;271;819;0.249;0.273;0.276;0.328;0.257;0.300;0.240;0.268
15 a 65;426;168;175 (Thu Jan 17 19:17:46 BRST 2013[null]);197;465;0.298;236;742;0.242;0.268;0.267;0.320;0.244;0.295;0.233;0.269
20 a 70;424;164;185 (Wed Jan 23 20:30:15 BRST 2013[null]);208;460;0.312;249;725;0.256;0.282;0.285;0.326;0.250;0.286;0.245;0.271
25 a 75;394;152;205 (Thu Feb 07 13:19:06 BRST 2013[null]);197;434;0.313;233;673;0.258;0.283;0.274;0.300;0.255;0.288;0.242;0.257
30 a 80;406;154;212 (Mon Feb 11 17:44:47 BRST 2013[null]);203;450;0.311;237;681;0.259;0.283;0.274;0.278;0.279;0.296;0.248;0.237
35 a 85;373;154;221 (Sat Feb 16 01:10:20 BRST 2013[null]);194;445;0.304;224;549;0.290;0.297;0.268;0.280;0.310;0.322;0.261;0.252
40 a 90;340;149;239 (Fri Mar 01 13:57:10 BRT 2013[null]);180;426;0.298;208;541;0.278;0.288;0.257;0.278;0.296;0.319;0.248;0.247
45 a 95;349;166;250 (Fri Mar 01 14:11:46 BRT 2013[null]);207;469;0.307;245;580;0.297;0.302;0.263;0.285;0.302;0.323;0.258;0.260
50 a 100;329;186;258 (Sat Mar 02 23:12:35 BRT 2013[null]);234;518;0.312;274;505;0.352;0.331;0.257;0.296;0.304;0.329;0.259;0.272
55 a 105;344;200;267 (Fri Mar 08 18:10:57 BRT 2013[null]);221;548;0.288;253;514;0.330;0.308;0.248;0.287;0.304;0.340;0.251;0.267
60 a 110;361;211;273 (Fri Mar 08 18:21:48 BRT 2013[null]);250;595;0.296;282;524;0.350;0.321;0.261;0.278;0.342;0.361;0.273;0.268
65 a 115;362;206;283 (Fri Mar 08 18:41:36 BRT 2013[null]);244;569;0.301;279;505;0.356;0.327;0.277;0.283;0.366;0.371;0.288;0.271
70 a 120;315;190;297 (Fri Mar 15 16:27:36 BRT 2013[null]);220;527;0.295;245;432;0.362;0.326;0.274;0.282;0.373;0.380;0.288;0.273
75 a 125;308;191;310 (Wed Mar 27 17:22:43 BRT 2013[null]);222;536;0.293;247;449;0.355;0.322;0.269;0.280;0.366;0.374;0.284;0.270
80 a 130;298;188;327 (Mon Apr 08 13:37:02 BRT 2013[null]);200;505;0.284;224;472;0.322;0.302;0.261;0.296;0.332;0.364;0.265;0.276
85 a 135;4539;832;334 (Sat Apr 13 16:02:12 BRT 2013[null]);605;2506;0.195;826;7743;0.097;0.130;0.180;0.268;0.135;0.235;0.128;0.195
90 a 140;4563;846;354 (Mon May 06 12:30:17 BRT 2013[null]);622;2555;0.196;846;7779;0.099;0.132;0.181;0.267;0.139;0.237;0.130;0.196
95 a 145;4521;821;383 (Wed May 22 10:13:01 BRT 2013[null]);584;2490;0.190;798;7727;0.094;0.126;0.176;0.262;0.131;0.231;0.124;0.188
100 a 150;4480;792;407 (Mon Jun 03 13:13:05 BRT 2013[null]);547;2409;0.186;760;7656;0.091;0.123;0.175;0.260;0.129;0.228;0.121;0.184
105 a 155;4449;767;423 (Thu Jun 06 17:28:45 BRT 2013[null]);529;2345;0.185;740;7596;0.089;0.121;0.172;0.258;0.121;0.217;0.117;0.179
110 a 160;4413;746;462 (Wed Jul 17 11:06:17 BRT 2013[null]);492;2263;0.179;702;7576;0.085;0.116;0.168;0.260;0.107;0.198;0.109;0.174
115 a 165;4380;734;493 (Fri Aug 09 18:16:10 BRT 2013[null]);485;2232;0.179;692;7534;0.085;0.116;0.167;0.259;0.102;0.189;0.106;0.171
120 a 170;4385;729;525 (Tue Sep 10 17:53:41 BRT 2013[null]);481;2219;0.179;688;7529;0.084;0.115;0.166;0.259;0.100;0.185;0.105;0.169
125 a 175;4393;733;539 (Thu Oct 03 12:01:27 BRT 2013[null]);483;2256;0.177;694;7557;0.085;0.115;0.166;0.258;0.099;0.184;0.104;0.168
130 a 180;4405;729;548 (Mon Oct 14 14:23:26 BRT 2013[null]);485;2276;0.176;697;7560;0.085;0.115;0.164;0.254;0.100;0.183;0.104;0.165
135 a 185;152;74;583 (Thu Nov 21 01:23:32 BRST 2013[null]);67;252;0.211;84;313;0.212;0.212;0.213;0.222;0.233;0.249;0.213;0.223
140 a 190;130;63;607 (Thu Dec 12 14:56:13 BRST 2013[null]);67;214;0.239;85;292;0.226;0.233;0.229;0.248;0.226;0.241;0.219;0.236
145 a 195;174;70;622 (Wed Dec 18 17:32:00 BRST 2013[null]);72;228;0.240;90;313;0.224;0.232;0.231;0.261;0.231;0.256;0.221;0.245
150 a 200;184;71;635 (Mon Dec 30 16:58:16 BRST 2013[null]);68;227;0.231;84;303;0.218;0.225;0.208;0.250;0.210;0.259;0.198;0.236
155 a 205;184;70;673 (Fri Jan 31 16:01:02 BRST 2014[null]);65;225;0.225;83;311;0.211;0.218;0.203;0.247;0.206;0.256;0.194;0.232
160 a 210;190;73;706 (Thu Mar 13 12:43:40 BRT 2014[null]);68;225;0.233;86;322;0.211;0.222;0.218;0.266;0.204;0.253;0.191;0.219
165 a 215;188;69;725 (Mon Mar 31 15:31:56 BRT 2014[null]);61;213;0.223;78;306;0.204;0.214;0.211;0.282;0.196;0.258;0.181;0.222
170 a 220;173;67;761 (Fri Apr 25 12:13:13 BRT 2014[null]);59;208;0.221;76;298;0.204;0.213;0.210;0.286;0.190;0.260;0.178;0.225
175 a 225;160;55;780 (Tue May 13 16:02:43 BRT 2014[null]);53;155;0.255;68;244;0.218;0.236;0.239;0.307;0.217;0.280;0.200;0.242
180 a 230;151;48;811 (Wed Jun 18 19:27:48 BRT 2014[null]);49;114;0.301;65;198;0.248;0.272;0.275;0.354;0.231;0.308;0.222;0.282
185 a 235;152;48;840 (Mon Jul 28 09:47:00 BRT 2014[null]);48;91;0.346;60;156;0.278;0.309;0.354;0.416;0.283;0.362;0.286;0.346
190 a 240;168;48;868 (Thu Sep 04 19:23:49 BRT 2014[null]);37;90;0.292;47;155;0.233;0.260;0.325;0.408;0.263;0.359;0.262;0.339
