Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;201;116;195 (Fri Aug 03 05:11:50 BRT 2012[null]);111;360;0.236;137;334;0.291;0.261;0.242;0.246;0.360;0.362;0.258;0.229
5 a 55;205;119;206 (Mon Aug 20 03:43:29 BRT 2012[null]);136;367;0.271;166;351;0.322;0.295;0.271;0.258;0.394;0.372;0.289;0.243
10 a 60;142;86;244 (Thu Sep 27 22:22:29 BRT 2012[null]);104;287;0.266;146;333;0.305;0.285;0.258;0.271;0.322;0.320;0.265;0.249
15 a 65;124;79;270 (Sat Nov 10 02:06:39 BRST 2012[null]);101;266;0.276;145;313;0.317;0.296;0.272;0.277;0.337;0.326;0.279;0.253
20 a 70;121;85;286 (Thu Nov 15 15:39:45 BRST 2012[null]);100;276;0.266;146;330;0.307;0.286;0.229;0.256;0.299;0.329;0.245;0.255
25 a 75;101;77;300 (Sat Nov 17 19:12:35 BRST 2012[null]);86;260;0.249;130;315;0.293;0.270;0.218;0.247;0.288;0.331;0.234;0.249
30 a 80;105;80;319 (Tue Dec 04 11:17:00 BRST 2012[null]);96;282;0.254;140;352;0.285;0.269;0.208;0.212;0.285;0.330;0.225;0.228
35 a 85;127;95;327 (Mon Dec 10 16:33:01 BRST 2012[null]);123;328;0.273;168;425;0.284;0.279;0.239;0.211;0.306;0.315;0.251;0.224
40 a 90;121;91;375 (Sun Jan 13 07:26:11 BRST 2013[null]);130;309;0.297;166;424;0.282;0.290;0.265;0.224;0.304;0.306;0.263;0.224
45 a 95;134;107;404 (Sun Jan 27 16:42:21 BRST 2013[null]);145;346;0.296;189;511;0.271;0.283;0.253;0.219;0.278;0.292;0.246;0.218
50 a 100;154;117;419 (Fri Mar 01 19:22:47 BRT 2013[null]);161;381;0.298;218;589;0.271;0.284;0.250;0.217;0.258;0.267;0.238;0.212
55 a 105;194;141;426 (Wed Mar 13 20:13:10 BRT 2013[null]);156;482;0.245;218;755;0.225;0.235;0.219;0.199;0.206;0.217;0.198;0.177
60 a 110;194;137;432 (Sat Mar 16 19:35:49 BRT 2013[null]);142;456;0.238;180;664;0.214;0.226;0.211;0.202;0.194;0.210;0.189;0.176
65 a 115;220;157;442 (Thu Mar 21 13:35:25 BRT 2013[null]);164;503;0.246;200;691;0.225;0.236;0.220;0.214;0.223;0.256;0.204;0.197
70 a 120;216;152;452 (Tue Apr 02 15:44:10 BRT 2013[null]);163;497;0.247;197;669;0.228;0.238;0.231;0.214;0.235;0.256;0.215;0.196
75 a 125;217;153;469 (Sun May 05 17:26:56 BRT 2013[null]);164;503;0.246;198;676;0.227;0.237;0.231;0.213;0.235;0.256;0.214;0.196
80 a 130;212;152;506 (Fri Sep 13 02:01:56 BRT 2013[null]);156;489;0.242;190;650;0.227;0.235;0.229;0.214;0.236;0.253;0.215;0.197
85 a 135;213;150;518 (Mon Jun 03 09:27:53 BRT 2013[null]);145;477;0.234;178;606;0.228;0.231;0.208;0.225;0.208;0.246;0.192;0.197
90 a 140;218;149;530 (Thu Sep 19 05:12:41 BRT 2013[null]);136;476;0.223;169;594;0.222;0.223;0.204;0.228;0.206;0.249;0.188;0.198
95 a 145;199;130;546 (Sun Oct 20 12:26:10 BRST 2013[null]);117;422;0.218;141;501;0.220;0.219;0.203;0.234;0.206;0.248;0.188;0.202
100 a 150;174;117;568 (Sat Nov 09 19:16:31 BRST 2013[null]);100;374;0.211;111;423;0.208;0.210;0.205;0.238;0.211;0.255;0.190;0.205
105 a 155;122;83;579 (Mon Dec 02 10:52:00 BRST 2013[null]);78;248;0.240;80;237;0.253;0.247;0.212;0.253;0.234;0.287;0.205;0.228
110 a 160;122;83;604 (Thu Sep 26 20:13:22 BRT 2013[null]);83;255;0.246;85;242;0.260;0.253;0.227;0.262;0.247;0.285;0.217;0.227
115 a 165;127;74;652 (Mon Apr 14 12:52:28 BRT 2014[null]);73;231;0.241;78;237;0.248;0.245;0.217;0.269;0.209;0.242;0.197;0.215
120 a 170;141;79;673 (Sat May 03 14:09:47 BRT 2014[null]);84;233;0.265;99;232;0.300;0.282;0.267;0.309;0.292;0.325;0.258;0.279
125 a 175;155;87;681 (Sun Jun 08 13:15:08 BRT 2014[null]);95;252;0.274;118;241;0.329;0.299;0.275;0.314;0.317;0.345;0.271;0.288
130 a 180;174;98;694 (Tue Jul 15 16:20:32 BRT 2014[null]);108;276;0.282;131;287;0.314;0.298;0.298;0.323;0.310;0.329;0.279;0.285
131 a 181;174;98;711 (ULTIMO);108;276;0.282;131;287;0.314;0.298;0.298;0.323;0.310;0.329;0.279;0.285
