Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;145;105;151 (Thu Jun 04 01:52:28 BRT 2009[null]);129;305;0.298;139;178;0.439;0.356;0.330;0.265;0.555;0.488;0.375;0.282
5 a 55;152;107;161 (Wed Jul 01 00:19:05 BRT 2009[null]);132;311;0.298;143;183;0.439;0.356;0.325;0.257;0.538;0.478;0.373;0.285
10 a 60;156;103;168 (Tue Jun 16 02:12:10 BRT 2009[null]);115;302;0.276;122;205;0.374;0.318;0.316;0.278;0.470;0.454;0.342;0.285
15 a 65;158;103;178 (Thu Jul 02 18:24:29 BRT 2009[null]);118;300;0.283;126;224;0.360;0.317;0.326;0.284;0.460;0.440;0.345;0.283
20 a 70;172;111;192 (Mon Jul 20 23:01:25 BRT 2009[null]);118;330;0.264;126;252;0.334;0.295;0.312;0.289;0.417;0.424;0.319;0.279
25 a 75;175;116;207 (Mon Oct 19 06:59:38 BRST 2009[null]);121;339;0.264;129;250;0.341;0.298;0.319;0.298;0.418;0.425;0.320;0.276
30 a 80;186;118;219 (Mon Oct 19 07:38:42 BRST 2009[null]);119;348;0.255;128;247;0.342;0.293;0.305;0.300;0.405;0.425;0.308;0.278
35 a 85;200;116;235 (Fri Dec 18 12:05:43 BRST 2009[null]);119;358;0.250;128;246;0.343;0.290;0.288;0.300;0.383;0.410;0.291;0.272
40 a 90;189;107;243 (Tue Jan 05 01:40:54 BRST 2010[null]);101;327;0.236;108;245;0.306;0.267;0.271;0.305;0.338;0.382;0.264;0.262
45 a 95;198;112;254 (Tue Feb 09 01:05:58 BRST 2010[null]);113;374;0.233;121;254;0.323;0.271;0.261;0.289;0.341;0.372;0.262;0.252
50 a 100;190;104;263 (Mon Apr 05 22:43:42 BRT 2010[null]);106;373;0.222;117;288;0.289;0.252;0.246;0.285;0.302;0.343;0.239;0.243
55 a 105;217;113;286 (Wed May 12 01:42:59 BRT 2010[null]);124;421;0.228;138;338;0.290;0.256;0.253;0.296;0.301;0.335;0.243;0.250
60 a 110;209;111;294 (Tue Oct 26 01:13:50 BRST 2010[null]);125;402;0.238;138;308;0.310;0.270;0.249;0.278;0.328;0.343;0.254;0.249
65 a 115;228;131;310 (Wed Jan 05 18:53:46 BRST 2011[null]);146;481;0.233;161;329;0.329;0.273;0.238;0.262;0.354;0.381;0.258;0.256
70 a 120;230;136;352 (Mon May 30 15:58:46 BRT 2011[null]);158;517;0.235;177;351;0.336;0.277;0.229;0.249;0.356;0.379;0.257;0.252
75 a 125;237;142;369 (Wed Jul 06 07:11:25 BRT 2011[null]);169;537;0.240;188;360;0.344;0.283;0.230;0.234;0.383;0.408;0.272;0.265
78 a 128;231;137;377 (ULTIMO);164;524;0.239;182;360;0.336;0.280;0.230;0.233;0.378;0.401;0.270;0.263
