Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;201;116;195 (Fri Aug 03 05:11:50 BRT 2012[null]);110;360;0.235;136;335;0.289;0.260;0.240;0.247;0.359;0.363;0.257;0.230
5 a 55;205;119;206 (Mon Aug 20 03:43:29 BRT 2012[null]);135;367;0.269;165;352;0.320;0.293;0.269;0.259;0.393;0.373;0.288;0.244
10 a 60;142;86;244 (Thu Sep 27 22:22:29 BRT 2012[null]);103;286;0.265;145;334;0.303;0.283;0.256;0.273;0.321;0.321;0.264;0.250
15 a 65;124;79;270 (Sat Nov 10 02:06:39 BRST 2012[null]);100;265;0.274;144;314;0.315;0.294;0.270;0.278;0.335;0.327;0.277;0.254
20 a 70;121;85;286 (Thu Nov 15 15:39:45 BRST 2012[null]);100;275;0.267;146;330;0.307;0.286;0.230;0.256;0.299;0.329;0.245;0.255
25 a 75;101;77;300 (Sat Nov 17 19:12:35 BRST 2012[null]);86;259;0.250;130;315;0.293;0.270;0.218;0.247;0.288;0.331;0.234;0.249
30 a 80;105;80;319 (Tue Dec 04 11:17:00 BRST 2012[null]);96;281;0.255;140;352;0.285;0.270;0.208;0.212;0.285;0.330;0.225;0.228
35 a 85;127;95;327 (Mon Dec 10 16:33:01 BRST 2012[null]);123;327;0.274;168;425;0.284;0.279;0.239;0.211;0.306;0.315;0.251;0.224
40 a 90;121;91;375 (Sun Jan 13 07:26:11 BRST 2013[null]);130;308;0.297;166;424;0.282;0.290;0.265;0.224;0.304;0.306;0.263;0.224
45 a 95;134;107;404 (Sun Jan 27 16:42:21 BRST 2013[null]);145;345;0.296;189;511;0.271;0.283;0.253;0.219;0.278;0.292;0.246;0.218
50 a 100;154;116;419 (Fri Mar 01 19:22:47 BRT 2013[null]);161;378;0.299;218;584;0.272;0.285;0.256;0.226;0.260;0.267;0.241;0.212
55 a 105;194;140;426 (Wed Mar 13 20:13:10 BRT 2013[null]);156;478;0.247;218;750;0.226;0.237;0.224;0.209;0.207;0.217;0.199;0.177
60 a 110;194;136;432 (Sat Mar 16 19:35:49 BRT 2013[null]);142;453;0.239;180;659;0.215;0.227;0.217;0.211;0.195;0.211;0.190;0.177
65 a 115;220;156;442 (Thu Mar 21 13:35:25 BRT 2013[null]);164;500;0.247;200;686;0.226;0.237;0.225;0.222;0.225;0.256;0.206;0.197
70 a 120;216;151;452 (Tue Apr 02 15:44:10 BRT 2013[null]);163;494;0.249;197;664;0.229;0.239;0.236;0.222;0.237;0.256;0.217;0.196
75 a 125;217;152;469 (Sun May 05 17:26:56 BRT 2013[null]);164;500;0.247;198;671;0.228;0.238;0.235;0.221;0.236;0.256;0.216;0.196
80 a 130;212;151;506 (Fri Sep 13 02:01:56 BRT 2013[null]);156;486;0.243;190;645;0.228;0.236;0.234;0.222;0.237;0.253;0.216;0.198
85 a 135;213;149;518 (Mon Jun 03 09:27:53 BRT 2013[null]);145;474;0.235;178;601;0.229;0.232;0.213;0.233;0.210;0.247;0.193;0.197
90 a 140;218;147;530 (Thu Sep 19 05:12:41 BRT 2013[null]);135;473;0.223;168;586;0.223;0.224;0.203;0.227;0.207;0.250;0.188;0.198
95 a 145;199;128;546 (Sun Oct 20 12:26:10 BRST 2013[null]);116;419;0.217;140;493;0.222;0.220;0.203;0.233;0.207;0.249;0.188;0.202
100 a 150;174;116;568 (Sat Nov 09 19:16:31 BRST 2013[null]);99;373;0.210;110;420;0.208;0.209;0.198;0.228;0.210;0.256;0.188;0.205
105 a 155;122;82;579 (Mon Dec 02 10:52:00 BRST 2013[null]);77;248;0.237;79;234;0.253;0.245;0.202;0.239;0.234;0.290;0.203;0.228
110 a 160;122;81;604 (Thu Sep 26 20:13:22 BRT 2013[null]);81;255;0.242;83;238;0.259;0.251;0.208;0.235;0.243;0.289;0.209;0.223
115 a 165;127;72;652 (Mon Apr 14 12:52:28 BRT 2014[null]);71;230;0.236;76;233;0.246;0.241;0.196;0.238;0.205;0.243;0.187;0.208
120 a 170;141;77;673 (Sat May 03 14:09:47 BRT 2014[null]);82;232;0.262;97;228;0.299;0.280;0.248;0.290;0.290;0.330;0.250;0.277
125 a 175;155;85;681 (Sun Jun 08 13:15:08 BRT 2014[null]);93;251;0.271;116;237;0.329;0.298;0.258;0.297;0.315;0.350;0.265;0.288
130 a 180;174;96;694 (Tue Jul 15 16:20:32 BRT 2014[null]);106;275;0.279;129;283;0.314;0.296;0.283;0.310;0.309;0.333;0.274;0.284
131 a 181;174;96;711 (ULTIMO);106;275;0.279;129;283;0.314;0.296;0.283;0.310;0.309;0.333;0.274;0.284
