Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;324;213;134 (Mon Feb 17 17:57:39 BRT 2014[null]);367;717;0.339;443;990;0.310;0.324;0.333;0.310;0.351;0.322;0.311;0.267
5 a 55;312;203;147 (Wed Feb 19 18:33:27 BRT 2014[null]);342;678;0.336;417;953;0.305;0.320;0.330;0.316;0.346;0.326;0.307;0.272
10 a 60;312;200;176 (Wed Mar 12 11:01:35 BRT 2014[null]);330;667;0.331;404;928;0.304;0.317;0.328;0.315;0.344;0.324;0.305;0.270
15 a 65;301;196;185 (Wed Mar 12 18:06:55 BRT 2014[null]);319;652;0.329;389;895;0.303;0.316;0.327;0.319;0.339;0.326;0.303;0.275
20 a 70;173;81;194 (Thu Mar 20 14:38:58 BRT 2014[null]);71;233;0.234;84;383;0.180;0.204;0.306;0.370;0.224;0.289;0.233;0.284
25 a 75;182;82;213 (Thu Apr 03 01:30:01 BRT 2014[null]);64;267;0.194;77;387;0.166;0.179;0.266;0.357;0.209;0.278;0.215;0.281
30 a 80;182;81;229 (Fri Apr 18 12:15:59 BRT 2014[null]);64;251;0.204;77;365;0.175;0.189;0.282;0.367;0.223;0.292;0.224;0.284
35 a 85;202;81;248 (Wed Apr 23 10:06:47 BRT 2014[null]);61;248;0.198;74;362;0.170;0.183;0.255;0.352;0.207;0.288;0.203;0.275
40 a 90;191;70;254 (Thu Apr 24 11:12:03 BRT 2014[null]);56;214;0.208;68;346;0.165;0.185;0.246;0.330;0.194;0.270;0.188;0.249
45 a 95;191;73;263 (Fri Apr 25 05:49:10 BRT 2014[null]);57;229;0.200;69;411;0.144;0.168;0.238;0.326;0.186;0.267;0.181;0.246
50 a 100;130;65;268 (Fri Apr 25 13:52:52 BRT 2014[null]);47;215;0.180;49;337;0.127;0.149;0.202;0.266;0.198;0.287;0.174;0.232
55 a 105;133;67;274 (Fri Apr 25 19:42:51 BRT 2014[null]);51;220;0.189;53;370;0.126;0.152;0.208;0.273;0.204;0.293;0.181;0.242
60 a 110;130;68;279 (Mon Apr 28 04:05:28 BRT 2014[null]);50;219;0.186;52;371;0.123;0.149;0.213;0.289;0.196;0.291;0.177;0.244
65 a 115;116;59;286 (Tue Apr 29 10:22:07 BRT 2014[null]);36;185;0.163;36;342;0.096;0.121;0.203;0.297;0.176;0.291;0.159;0.241
70 a 120;150;74;294 (Sat May 03 05:12:37 BRT 2014[null]);28;255;0.099;28;412;0.064;0.078;0.143;0.276;0.108;0.244;0.096;0.194
75 a 125;134;66;306 (Thu May 08 18:37:52 BRT 2014[null]);29;215;0.119;29;375;0.072;0.090;0.166;0.292;0.120;0.254;0.110;0.206
80 a 130;184;82;320 (Tue May 20 07:32:42 BRT 2014[null]);27;269;0.092;27;428;0.060;0.073;0.117;0.252;0.082;0.209;0.079;0.181
85 a 135;198;89;339 (Fri May 23 19:03:42 BRT 2014[null]);31;292;0.096;32;471;0.064;0.077;0.112;0.230;0.100;0.233;0.088;0.186
90 a 140;2369;1348;354 (Thu May 29 19:21:47 BRT 2014[null]);1302;4903;0.210;1466;18507;0.074;0.110;0.190;0.205;0.083;0.178;0.106;0.163
95 a 145;4537;2605;368 (Fri May 30 19:52:18 BRT 2014[null]);2576;9499;0.214;2903;36486;0.074;0.110;0.193;0.204;0.083;0.177;0.107;0.163
100 a 150;4520;2591;394 (Tue Jun 24 00:00:17 BRT 2014[null]);2568;9455;0.214;2895;36424;0.074;0.110;0.193;0.204;0.083;0.176;0.106;0.162
105 a 155;4585;2595;413 (Thu Jul 10 13:11:41 BRT 2014[null]);2566;9469;0.214;2893;36407;0.074;0.110;0.193;0.204;0.083;0.176;0.106;0.162
110 a 160;4582;2592;423 (Mon Jul 14 17:28:25 BRT 2014[null]);2565;9462;0.214;2892;36396;0.074;0.110;0.193;0.203;0.083;0.176;0.106;0.162
115 a 165;4592;2594;467 (Wed Jul 30 03:51:57 BRT 2014[null]);2567;9473;0.214;2894;36419;0.074;0.110;0.193;0.203;0.083;0.176;0.106;0.162
117 a 167;4592;2594;470 (ULTIMO);2566;9478;0.214;2893;36404;0.074;0.110;0.192;0.202;0.083;0.176;0.106;0.162
