Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;324;213;134 (Mon Feb 17 17:57:39 BRT 2014[null]);365;707;0.341;442;991;0.309;0.325;0.335;0.310;0.351;0.321;0.312;0.268
5 a 55;312;203;147 (Wed Feb 19 18:33:27 BRT 2014[null]);340;671;0.337;416;954;0.304;0.320;0.332;0.316;0.346;0.325;0.307;0.272
10 a 60;312;200;176 (Wed Mar 12 11:01:35 BRT 2014[null]);328;660;0.332;403;929;0.303;0.317;0.329;0.316;0.344;0.323;0.306;0.271
15 a 65;301;196;185 (Wed Mar 12 18:06:55 BRT 2014[null]);318;647;0.330;389;895;0.303;0.316;0.328;0.319;0.339;0.325;0.303;0.275
20 a 70;173;81;194 (Thu Mar 20 14:38:58 BRT 2014[null]);71;232;0.235;85;382;0.183;0.206;0.306;0.370;0.225;0.289;0.234;0.284
25 a 75;182;82;213 (Thu Apr 03 01:30:01 BRT 2014[null]);64;266;0.194;78;386;0.169;0.181;0.266;0.357;0.210;0.278;0.216;0.281
30 a 80;182;81;229 (Fri Apr 18 12:15:59 BRT 2014[null]);64;251;0.204;78;364;0.177;0.190;0.282;0.367;0.224;0.292;0.225;0.284
35 a 85;202;81;248 (Wed Apr 23 10:06:47 BRT 2014[null]);61;248;0.198;75;361;0.173;0.185;0.255;0.352;0.208;0.289;0.203;0.275
40 a 90;191;70;254 (Thu Apr 24 11:12:03 BRT 2014[null]);56;214;0.208;69;345;0.167;0.186;0.246;0.330;0.195;0.271;0.188;0.249
45 a 95;191;73;263 (Fri Apr 25 05:49:10 BRT 2014[null]);57;229;0.200;70;410;0.146;0.169;0.238;0.326;0.187;0.268;0.181;0.246
50 a 100;130;65;268 (Fri Apr 25 13:52:52 BRT 2014[null]);47;215;0.180;49;337;0.127;0.149;0.202;0.266;0.198;0.287;0.174;0.232
55 a 105;133;67;274 (Fri Apr 25 19:42:51 BRT 2014[null]);50;221;0.185;52;371;0.123;0.148;0.205;0.268;0.201;0.288;0.178;0.236
60 a 110;130;68;279 (Mon Apr 28 04:05:28 BRT 2014[null]);49;220;0.183;51;372;0.121;0.146;0.210;0.284;0.193;0.286;0.174;0.237
65 a 115;116;59;286 (Tue Apr 29 10:22:07 BRT 2014[null]);35;187;0.158;35;343;0.093;0.118;0.199;0.291;0.173;0.285;0.156;0.233
70 a 120;150;74;294 (Sat May 03 05:12:37 BRT 2014[null]);27;257;0.096;27;413;0.062;0.076;0.140;0.270;0.105;0.238;0.093;0.185
75 a 125;134;66;306 (Thu May 08 18:37:52 BRT 2014[null]);28;217;0.115;28;376;0.070;0.088;0.163;0.286;0.116;0.247;0.107;0.197
80 a 130;184;82;320 (Tue May 20 07:32:42 BRT 2014[null]);26;270;0.088;26;429;0.058;0.070;0.115;0.246;0.080;0.202;0.077;0.172
85 a 135;198;89;339 (Fri May 23 19:03:42 BRT 2014[null]);30;294;0.093;31;472;0.062;0.075;0.109;0.223;0.097;0.227;0.086;0.178
90 a 140;2369;1355;354 (Thu May 29 19:21:47 BRT 2014[null]);1304;4940;0.209;1497;18606;0.075;0.111;0.189;0.205;0.084;0.177;0.106;0.162
95 a 145;4537;2619;368 (Fri May 30 19:52:18 BRT 2014[null]);2581;9570;0.213;2966;36683;0.075;0.111;0.193;0.204;0.084;0.177;0.107;0.163
100 a 150;4520;2605;394 (Tue Jun 24 00:00:17 BRT 2014[null]);2573;9527;0.213;2958;36621;0.075;0.111;0.193;0.204;0.083;0.175;0.106;0.162
105 a 155;4585;2609;413 (Thu Jul 10 13:11:41 BRT 2014[null]);2572;9540;0.213;2957;36603;0.075;0.111;0.192;0.204;0.083;0.175;0.106;0.162
110 a 160;4582;2606;423 (Mon Jul 14 17:28:25 BRT 2014[null]);2571;9533;0.213;2956;36592;0.075;0.111;0.192;0.204;0.083;0.175;0.106;0.162
115 a 165;4592;2608;467 (Wed Jul 30 03:51:57 BRT 2014[null]);2573;9544;0.213;2958;36615;0.075;0.111;0.192;0.204;0.083;0.175;0.106;0.162
117 a 167;4592;2608;470 (ULTIMO);2572;9549;0.213;2957;36600;0.075;0.111;0.192;0.203;0.083;0.175;0.106;0.162
