Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;198;162;218 (Thu May 01 13:39:31 BRT 2008[null]);311;727;0.300;438;786;0.358;0.327;0.298;0.261;0.336;0.288;0.291;0.233
5 a 55;177;135;262 (Wed May 14 19:51:39 BRT 2008[null]);235;522;0.311;345;643;0.350;0.330;0.309;0.267;0.336;0.293;0.293;0.234
10 a 60;163;122;286 (Fri May 23 19:57:30 BRT 2008[null]);219;498;0.306;322;556;0.367;0.334;0.301;0.248;0.339;0.292;0.296;0.234
15 a 65;153;114;295 (Wed May 28 13:25:28 BRT 2008[null]);203;452;0.310;295;503;0.370;0.338;0.308;0.248;0.347;0.294;0.303;0.233
20 a 70;149;111;333 (Mon Jun 09 20:33:36 BRT 2008[null]);190;465;0.291;266;473;0.360;0.322;0.282;0.228;0.333;0.287;0.287;0.225
25 a 75;151;113;347 (Fri Jun 20 19:08:05 BRT 2008[null]);193;454;0.299;276;520;0.347;0.322;0.284;0.232;0.324;0.280;0.283;0.222
30 a 80;175;126;384 (Tue Jul 15 13:43:57 BRT 2008[null]);214;522;0.291;298;590;0.336;0.312;0.277;0.224;0.327;0.294;0.279;0.217
35 a 85;260;183;392 (Thu Jul 31 10:01:22 BRT 2008[null]);309;783;0.283;436;811;0.350;0.313;0.285;0.205;0.365;0.291;0.296;0.195
40 a 90;252;175;433 (Fri Aug 08 12:41:14 BRT 2008[null]);265;750;0.262;369;761;0.327;0.291;0.272;0.208;0.351;0.293;0.280;0.191
45 a 95;260;173;446 (Fri Aug 15 22:58:45 BRT 2008[null]);248;754;0.248;330;714;0.317;0.279;0.258;0.203;0.347;0.294;0.269;0.184
50 a 100;259;171;476 (Wed Oct 01 15:49:52 BRT 2008[null]);236;761;0.237;318;722;0.306;0.268;0.246;0.200;0.333;0.293;0.257;0.180
55 a 105;592;299;501 (Thu Oct 30 02:10:54 BRST 2008[null]);441;1263;0.259;654;1745;0.273;0.266;0.261;0.230;0.296;0.267;0.248;0.187
60 a 110;612;315;511 (Tue Nov 04 21:30:56 BRST 2008[null]);460;1366;0.252;673;1824;0.270;0.261;0.259;0.231;0.295;0.261;0.246;0.183
65 a 115;624;318;524 (Tue Nov 11 06:43:17 BRST 2008[null]);469;1353;0.258;698;1863;0.273;0.266;0.269;0.241;0.298;0.263;0.250;0.188
70 a 120;622;316;536 (Thu Nov 13 06:57:43 BRST 2008[null]);469;1324;0.262;700;1861;0.274;0.268;0.272;0.241;0.303;0.266;0.254;0.189
75 a 125;632;318;556 (Sun Nov 16 03:07:33 BRST 2008[null]);486;1322;0.269;718;1818;0.284;0.277;0.280;0.243;0.311;0.268;0.263;0.194
80 a 130;644;333;571 (Fri Nov 28 16:01:34 BRST 2008[null]);511;1385;0.270;761;2035;0.273;0.272;0.283;0.249;0.298;0.257;0.258;0.194
85 a 135;579;289;583 (Mon Dec 01 12:28:24 BRST 2008[null]);432;1175;0.269;643;1913;0.252;0.261;0.276;0.260;0.269;0.257;0.241;0.201
90 a 140;596;302;594 (Tue Dec 02 11:58:20 BRST 2008[null]);462;1246;0.271;681;2057;0.249;0.260;0.280;0.260;0.267;0.254;0.243;0.203
