Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;295;206;247 (Fri Nov 17 00:03:23 BRST 2006[null]);263;805;0.247;432;1238;0.259;0.253;0.244;0.253;0.280;0.289;0.232;0.220
5 a 55;335;233;281 (Fri Apr 20 11:47:04 BRT 2007[null]);300;930;0.244;489;1478;0.249;0.247;0.243;0.242;0.276;0.282;0.230;0.212
10 a 60;308;211;303 (Tue May 15 10:26:05 BRT 2007[null]);261;856;0.234;421;1407;0.231;0.233;0.229;0.233;0.249;0.268;0.213;0.208
15 a 65;319;216;335 (Wed May 23 03:43:47 BRT 2007[null]);264;883;0.231;426;1456;0.227;0.229;0.224;0.233;0.244;0.267;0.209;0.207
20 a 70;395;263;373 (Mon Jun 04 05:01:11 BRT 2007[null]);339;1088;0.238;560;1852;0.233;0.236;0.230;0.231;0.251;0.268;0.215;0.204
25 a 75;376;246;386 (Thu Jun 14 08:17:05 BRT 2007[null]);321;1041;0.236;533;1825;0.227;0.232;0.231;0.234;0.251;0.272;0.214;0.206
30 a 80;409;264;396 (Mon Jul 02 00:44:07 BRT 2007[null]);345;1126;0.235;553;1908;0.225;0.230;0.231;0.233;0.256;0.271;0.216;0.200
35 a 85;404;258;402 (Fri Jul 06 10:34:43 BRT 2007[null]);346;1106;0.239;557;1975;0.220;0.230;0.237;0.233;0.256;0.269;0.218;0.199
40 a 90;455;272;434 (Mon Aug 27 13:23:14 BRT 2007[null]);365;1146;0.242;589;2062;0.223;0.233;0.242;0.235;0.257;0.265;0.222;0.200
45 a 95;437;259;446 (Tue Aug 28 13:53:05 BRT 2007[null]);360;1107;0.246;581;2035;0.223;0.234;0.250;0.242;0.251;0.263;0.221;0.200
50 a 100;343;187;457 (Tue Aug 28 19:43:13 BRT 2007[null]);253;804;0.240;404;1492;0.214;0.227;0.246;0.228;0.231;0.229;0.213;0.178
55 a 105;309;162;480 (Sat Sep 01 11:43:09 BRT 2007[null]);220;678;0.245;358;1264;0.221;0.233;0.255;0.248;0.230;0.232;0.215;0.188
60 a 110;337;169;559 (Mon Sep 10 18:13:45 BRT 2007[null]);225;697;0.245;356;1245;0.223;0.234;0.250;0.239;0.232;0.238;0.214;0.186
65 a 115;319;166;577 (Fri Sep 14 11:25:21 BRT 2007[null]);230;686;0.252;360;1193;0.232;0.242;0.262;0.240;0.243;0.238;0.224;0.186
70 a 120;266;136;583 (Mon Sep 17 12:54:07 BRT 2007[null]);183;511;0.264;263;908;0.225;0.243;0.282;0.247;0.236;0.235;0.225;0.185
75 a 125;277;146;600 (Wed Sep 19 13:27:23 BRT 2007[null]);195;507;0.278;284;944;0.232;0.253;0.289;0.243;0.238;0.234;0.230;0.185
80 a 130;2096;1369;613 (Sat Sep 22 07:34:46 BRT 2007[null]);2070;4302;0.325;3167;7832;0.288;0.306;0.336;0.258;0.325;0.269;0.301;0.220
85 a 135;2127;1389;635 (Tue Oct 02 11:50:08 BRT 2007[null]);2079;4354;0.324;3181;7898;0.288;0.305;0.335;0.261;0.323;0.269;0.299;0.221
90 a 140;2093;1387;658 (Sat Oct 20 21:09:23 BRST 2007[null]);2092;4353;0.325;3190;7951;0.287;0.305;0.337;0.261;0.323;0.269;0.299;0.220
95 a 145;2111;1391;673 (Fri Oct 26 11:51:32 BRST 2007[null]);2099;4366;0.325;3201;7981;0.287;0.305;0.336;0.260;0.323;0.269;0.299;0.221
100 a 150;2142;1409;686 (Sun Nov 04 10:07:49 BRST 2007[null]);2099;4434;0.322;3182;8069;0.283;0.302;0.332;0.261;0.319;0.269;0.295;0.221
105 a 155;2165;1420;701 (Sat Nov 10 13:56:07 BRST 2007[null]);2112;4452;0.322;3197;8119;0.283;0.302;0.333;0.262;0.320;0.270;0.296;0.222
110 a 160;2139;1409;713 (Tue Nov 13 15:11:29 BRST 2007[null]);2107;4370;0.326;3190;8013;0.285;0.305;0.338;0.265;0.325;0.273;0.301;0.226
115 a 165;2142;1409;741 (Mon Dec 03 00:56:52 BRST 2007[null]);2102;4371;0.325;3186;8032;0.285;0.304;0.337;0.265;0.325;0.274;0.301;0.226
120 a 170;2117;1389;769 (Tue Dec 04 03:54:58 BRST 2007[null]);2068;4328;0.324;3143;7940;0.284;0.303;0.336;0.265;0.325;0.273;0.301;0.226
125 a 175;2092;1374;778 (Tue Dec 04 10:44:40 BRST 2007[null]);2042;4300;0.322;3104;7885;0.283;0.302;0.336;0.266;0.326;0.275;0.301;0.227
130 a 180;231;127;795 (Fri Dec 07 14:26:50 BRST 2007[null]);139;403;0.257;193;894;0.178;0.211;0.297;0.317;0.239;0.299;0.235;0.264
135 a 185;187;100;805 (Mon Dec 10 21:37:08 BRST 2007[null]);117;312;0.273;156;719;0.179;0.217;0.302;0.311;0.258;0.314;0.251;0.274
140 a 190;186;86;832 (Sat Dec 22 22:17:37 BRST 2007[null]);84;251;0.251;129;567;0.186;0.214;0.287;0.330;0.258;0.337;0.245;0.296
145 a 195;175;82;865 (Tue Jan 08 13:44:21 BRST 2008[null]);77;241;0.243;120;556;0.178;0.206;0.296;0.340;0.256;0.341;0.244;0.299
150 a 200;157;68;878 (Thu Jan 10 18:19:15 BRST 2008[null]);67;200;0.251;108;468;0.188;0.215;0.317;0.344;0.294;0.366;0.272;0.313
155 a 205;168;80;887 (Tue Jan 15 17:59:07 BRST 2008[null]);80;227;0.261;113;479;0.191;0.221;0.324;0.345;0.349;0.411;0.306;0.341
160 a 210;143;71;906 (Sat Jan 19 11:51:03 BRST 2008[null]);74;221;0.251;107;434;0.198;0.222;0.293;0.335;0.303;0.380;0.270;0.317
165 a 215;209;100;921 (Tue Jan 22 11:55:19 BRST 2008[null]);105;285;0.270;139;541;0.205;0.234;0.327;0.323;0.301;0.338;0.272;0.278
170 a 220;239;115;931 (Thu Jan 24 12:39:47 BRST 2008[null]);124;340;0.268;189;635;0.230;0.248;0.315;0.310;0.291;0.323;0.267;0.268
175 a 225;257;136;940 (Sat Jan 26 21:56:04 BRST 2008[null]);167;380;0.306;337;723;0.318;0.312;0.342;0.290;0.338;0.319;0.306;0.258
180 a 230;260;136;963 (Mon Jan 28 16:10:43 BRST 2008[null]);166;377;0.306;337;723;0.318;0.312;0.343;0.290;0.333;0.315;0.304;0.258
185 a 235;268;142;977 (Tue Jan 29 16:35:56 BRST 2008[null]);178;405;0.306;368;775;0.322;0.314;0.340;0.284;0.339;0.314;0.306;0.253
190 a 240;279;154;985 (Thu Jan 31 12:50:12 BRST 2008[null]);189;458;0.293;364;800;0.313;0.303;0.322;0.274;0.329;0.306;0.294;0.245
195 a 245;268;149;991 (Thu Jan 31 18:32:31 BRST 2008[null]);182;438;0.294;353;743;0.323;0.308;0.322;0.269;0.339;0.308;0.300;0.245
200 a 250;261;144;1010 (Mon Feb 04 14:44:11 BRST 2008[null]);187;421;0.308;395;792;0.333;0.321;0.344;0.276;0.349;0.300;0.312;0.241
205 a 255;237;134;1028 (Wed Feb 06 15:22:27 BRST 2008[null]);175;424;0.293;393;813;0.326;0.309;0.316;0.241;0.312;0.245;0.280;0.188
210 a 260;239;136;1046 (Tue Feb 12 14:20:48 BRST 2008[null]);172;428;0.287;392;834;0.320;0.303;0.313;0.239;0.314;0.256;0.278;0.191
215 a 265;182;118;1061 (Fri Feb 15 16:05:12 BRST 2008[null]);166;382;0.303;456;906;0.335;0.319;0.315;0.229;0.329;0.261;0.296;0.201
220 a 270;151;104;1085 (Thu Feb 28 08:03:05 BRT 2008[null]);147;325;0.312;405;777;0.343;0.327;0.332;0.239;0.352;0.273;0.309;0.201
225 a 275;141;89;1094 (Fri Feb 29 09:52:13 BRT 2008[null]);117;290;0.288;273;704;0.280;0.284;0.321;0.277;0.288;0.261;0.264;0.202
230 a 280;139;90;1133 (Thu Mar 13 13:03:18 BRT 2008[null]);115;294;0.282;269;707;0.276;0.279;0.310;0.280;0.280;0.264;0.256;0.205
235 a 285;141;89;1163 (Wed Mar 19 14:58:07 BRT 2008[null]);107;278;0.278;242;660;0.269;0.274;0.314;0.295;0.274;0.270;0.253;0.217
239 a 289;107;73;1179 (ULTIMO);94;216;0.304;229;611;0.273;0.288;0.351;0.307;0.290;0.286;0.273;0.228
