Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;213;163;162 (Sun Dec 19 15:32:24 BRST 2010[null]);298;744;0.286;446;1078;0.293;0.290;0.294;0.247;0.291;0.230;0.268;0.200
5 a 55;214;164;182 (Wed Jan 12 11:26:05 BRST 2011[null]);311;753;0.293;461;1107;0.295;0.294;0.298;0.249;0.285;0.221;0.268;0.202
10 a 60;235;162;201 (Tue Jan 25 11:13:38 BRST 2011[null]);298;766;0.281;442;1129;0.282;0.282;0.285;0.236;0.266;0.202;0.255;0.190
15 a 65;241;164;217 (Sun Feb 06 22:24:20 BRST 2011[null]);286;721;0.285;382;1104;0.258;0.271;0.276;0.228;0.243;0.201;0.242;0.189
20 a 70;240;162;253 (Tue Mar 08 13:20:26 BRT 2011[null]);265;732;0.266;353;1133;0.238;0.252;0.265;0.219;0.230;0.189;0.229;0.175
25 a 75;190;130;276 (Mon Apr 04 15:49:36 BRT 2011[null]);228;600;0.276;303;927;0.247;0.261;0.267;0.212;0.232;0.193;0.233;0.179
30 a 80;198;126;290 (Sun Mar 06 19:13:32 BRT 2011[null]);202;595;0.254;270;870;0.237;0.246;0.241;0.209;0.224;0.199;0.216;0.176
35 a 85;231;142;301 (Sat Apr 16 21:03:18 BRT 2011[null]);232;662;0.260;323;962;0.252;0.256;0.247;0.205;0.246;0.213;0.233;0.186
40 a 90;234;142;318 (Tue Apr 26 15:06:45 BRT 2011[null]);236;634;0.272;332;1003;0.249;0.260;0.263;0.221;0.247;0.211;0.239;0.189
45 a 95;213;124;362 (Mon May 23 16:10:16 BRT 2011[null]);210;529;0.285;289;818;0.262;0.274;0.273;0.226;0.252;0.207;0.248;0.192
50 a 100;203;118;396 (Tue Jul 05 20:12:48 BRT 2011[null]);198;486;0.290;263;737;0.264;0.277;0.283;0.233;0.259;0.213;0.257;0.200
55 a 105;208;123;411 (Wed Jul 20 13:42:05 BRT 2011[null]);186;501;0.271;248;729;0.254;0.263;0.280;0.244;0.275;0.247;0.260;0.216
60 a 110;182;121;429 (Fri Aug 19 15:45:34 BRT 2011[null]);185;507;0.268;246;703;0.260;0.264;0.275;0.242;0.290;0.252;0.260;0.213
65 a 115;174;107;475 (Tue Dec 27 18:28:49 BRST 2011[null]);181;467;0.280;245;664;0.270;0.275;0.292;0.248;0.313;0.256;0.277;0.216
70 a 120;173;105;484 (Sat Jan 07 16:27:40 BRST 2012[null]);168;436;0.279;223;596;0.273;0.276;0.290;0.254;0.311;0.262;0.276;0.223
75 a 125;176;107;499 (Wed Apr 11 19:22:19 BRT 2012[null]);175;438;0.286;234;636;0.269;0.278;0.299;0.272;0.310;0.270;0.280;0.236
80 a 130;150;100;509 (Tue Jun 26 18:25:53 BRT 2012[null]);162;408;0.285;214;621;0.257;0.271;0.292;0.270;0.298;0.272;0.273;0.240
