Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;198;162;218 (Thu May 01 13:39:31 BRT 2008[null]);253;471;0.350;356;868;0.291;0.318;0.358;0.310;0.294;0.273;0.296;0.248
5 a 55;177;135;262 (Wed May 14 19:51:39 BRT 2008[null]);195;350;0.358;291;697;0.295;0.324;0.362;0.313;0.299;0.283;0.298;0.249
10 a 60;163;122;286 (Fri May 23 19:57:30 BRT 2008[null]);178;334;0.348;268;610;0.306;0.326;0.354;0.298;0.296;0.274;0.299;0.247
15 a 65;153;114;295 (Wed May 28 13:25:28 BRT 2008[null]);164;321;0.339;241;557;0.303;0.320;0.342;0.288;0.299;0.276;0.296;0.244
20 a 70;149;111;333 (Mon Jun 09 20:33:36 BRT 2008[null]);154;327;0.321;218;521;0.295;0.308;0.318;0.275;0.285;0.263;0.281;0.236
25 a 75;151;113;347 (Fri Jun 20 19:08:05 BRT 2008[null]);153;328;0.319;224;572;0.282;0.300;0.312;0.279;0.276;0.262;0.272;0.234
30 a 80;175;126;384 (Tue Jul 15 13:43:57 BRT 2008[null]);171;377;0.313;244;644;0.275;0.293;0.307;0.270;0.284;0.282;0.269;0.228
35 a 85;260;183;392 (Thu Jul 31 10:01:22 BRT 2008[null]);250;564;0.308;350;897;0.281;0.294;0.320;0.246;0.323;0.277;0.288;0.207
40 a 90;252;175;433 (Fri Aug 08 12:41:14 BRT 2008[null]);217;561;0.279;301;829;0.267;0.273;0.298;0.238;0.314;0.282;0.271;0.200
45 a 95;260;173;446 (Fri Aug 15 22:58:45 BRT 2008[null]);205;574;0.264;271;773;0.260;0.262;0.281;0.228;0.312;0.284;0.262;0.193
50 a 100;259;171;476 (Wed Oct 01 15:49:52 BRT 2008[null]);195;576;0.253;260;780;0.250;0.252;0.271;0.225;0.302;0.284;0.251;0.189
55 a 105;592;298;501 (Thu Oct 30 02:10:54 BRST 2008[null]);360;967;0.272;529;1866;0.221;0.244;0.285;0.256;0.265;0.263;0.239;0.196
60 a 110;612;314;511 (Tue Nov 04 21:30:56 BRST 2008[null]);381;1046;0.267;550;1943;0.221;0.242;0.285;0.256;0.267;0.259;0.240;0.193
65 a 115;624;317;524 (Tue Nov 11 06:43:17 BRST 2008[null]);389;1038;0.273;574;1983;0.225;0.247;0.296;0.266;0.271;0.262;0.245;0.198
70 a 120;622;315;536 (Thu Nov 13 06:57:43 BRST 2008[null]);392;1020;0.278;579;1978;0.227;0.250;0.300;0.267;0.277;0.265;0.249;0.199
75 a 125;632;317;556 (Sun Nov 16 03:07:33 BRST 2008[null]);414;1010;0.291;597;1935;0.236;0.261;0.312;0.272;0.285;0.267;0.260;0.207
80 a 130;644;332;571 (Fri Nov 28 16:01:34 BRST 2008[null]);429;1057;0.289;619;2173;0.222;0.252;0.312;0.281;0.269;0.260;0.252;0.210
85 a 135;579;288;583 (Mon Dec 01 12:28:24 BRST 2008[null]);363;908;0.286;532;2020;0.209;0.242;0.302;0.292;0.244;0.264;0.235;0.219
90 a 140;596;301;594 (Tue Dec 02 11:58:20 BRST 2008[null]);387;952;0.290;563;2171;0.206;0.241;0.305;0.291;0.240;0.260;0.236;0.219
95 a 145;565;286;617 (Sun Dec 07 20:46:36 BRST 2008[null]);373;898;0.294;553;2143;0.206;0.243;0.310;0.295;0.241;0.265;0.238;0.224
100 a 150;581;300;629 (Wed Dec 10 11:48:25 BRST 2008[null]);405;931;0.304;608;2300;0.210;0.249;0.319;0.295;0.246;0.266;0.245;0.225
105 a 155;229;172;646 (Sun Dec 14 22:56:17 BRST 2008[null]);238;529;0.311;339;1237;0.216;0.255;0.329;0.306;0.250;0.271;0.249;0.235
110 a 160;209;154;656 (Tue Dec 16 15:35:34 BRST 2008[null]);215;456;0.321;314;1172;0.212;0.256;0.334;0.312;0.242;0.279;0.248;0.240
115 a 165;196;150;670 (Tue Dec 16 23:28:29 BRST 2008[null]);204;460;0.308;287;1118;0.205;0.247;0.317;0.304;0.238;0.276;0.240;0.238
